Serial,QDATE,QMONTH,QYEAR,METHOD,WAVE,QST_1,QST_2,QET_1,QET_2,DURA,ID_INTV,Q1A,Q1B,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q4,Q5A,Q5B_1,Q5B_2,Q5B_3,Q5B_4,Q5B_5,Q5B_6,Q5B_7,Q6,Q7A_1,Q7B_1,Q7C_1,Q7A_2,Q7B_2,Q7C_2,Q7A_3,Q7B_3,Q7C_3,Q7A_4,Q7B_4,Q7C_4,Q7A_5,Q7B_5,Q7C_5,Q7A_6,Q7B_6,Q7C_6,Q7A_7,Q7B_7,Q7C_7,Q7A_8,Q7B_8,Q7C_8,Q7A_9,Q7B_9,Q7C_9,Q7A_10,Q7B_10,Q7C_10,Q8,Q9,Q10,Q11,Q12A_1,Q12A_2,Q12A_3,Q13A_1,Q13A_2,Q14,Q15A,Q15B,Q15C,Q57A,Q57B,Q57C,Q16A,Q16B,Q16C,Q17A_1,Q17A_2,Q17A_3,Q17A_4,Q18A_1,Q18A_2,Q18A_3,Q19A_1,Q19A_2,Q19A_3,Q20,Q21A,Q21B_1,Q21B_2,Q21B_3,Q21B_4,Q21C,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30A,Q30B,Q31_1,Q31_2,Q31_3,Q31_4,Q32A_1,Q32A_2,Q32A_3,Q32A_4,Q32A_5,Q32A_6,Q32B_1_1,Q32B_1_2,Q32B_1_3,Q32B_2_1,Q32B_2_2,Q32B_2_3,Q32B_2_4,Q32B_3_1,Q32B_3_2,Q32B_3_3,Q32B_4_1,Q32B_4_2,Q32B_4_3,Q32B_5_1,Q32B_5_2,Q32B_6,Q32B_7_1,Q32B_7_2,Q32B_8_1,Q32B_8_2,Q33A_1,Q33A_2,Q33A_3,Q33A_4,Q33B_1,Q33B_2,Q33B_3,Q33B_4,Q34A_1,Q34A_2,Q34B_1,Q34B_2,Q35,Q36,Q37A_1,Q37A_2,Q37A_3,Q58,Q38A_1,Q38A_2,Q38B_1,Q38B_2,Q39,Q40A,Q40B,Q41,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q44_12,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56
18,13,7,16,2,6,15,49,16,14,25,191039,25,1,1,,,,94,2,1,0,1,1,1,0,0,0,4,60,1,1,52,2,1,27,2,1,10,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,10,U,2,7,0,0,1,0,0,8,0,0,5,5,5,5,5,97,97,3,97,97,97,2,0,,,,0,1,0,8,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,5,400,U,U,4,U,U,U,U,2,21,2,5,7,4,1,2,3,4,7,8,9,10,,,,,2,1,1,1,0,3,BORDJ BOU ARRERIDJ,2,798730840,1,1,3
19,13,7,16,2,6,16,15,16,37,22,191039,25,1,1,,,,94,2,3,1,1,0,0,1,0,0,2,40,1,1,4,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,9,U,8,15,0,0,1,0,0,8,0,0,4,4,4,4,97,97,5,97,97,3,3,2,0,,,,0,1,0,7,5,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,17,8,2000,U,U,4,U,U,U,U,2,33,3,5,9,4,1,2,3,4,8,9,10,12,,,,,97,1,1,3,0,3,BORDJ BOU ARRERIDJ,2,669732064,1,2,3
20,13,7,16,2,6,16,37,17,4,27,191039,25,1,1,,,,94,2,1,0,1,1,1,1,0,0,2,33,1,1,1,1,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,2,1,3,0,9,5,8,7,14,0,1,1,0,8,8,0,4,4,4,4,4,97,3,3,97,3,97,2,0,,,,0,1,0,7,7,2,0,1,1,1,2,4,,,,2,,,,,,0,,,4,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,12,8,500,200,U,4,U,U,U,U,2,27,3,4,4,4,1,2,3,4,8,9,10,12,,,,,2,1,1,1,3,3,BORDJ BOU ARRERIDJ,2,779723430,1,1,3
21,13,7,16,2,6,17,4,17,27,23,191039,25,1,1,,,,94,2,5,1,1,1,1,0,1,0,3,43,1,1,12,1,1,7,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,5,U,8,3,0,0,1,0,0,8,0,0,5,5,5,5,97,5,97,97,2,97,2,2,0,,,,0,1,0,5,6,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,19,8,3000,U,U,4,U,U,U,U,2,37,4,4,8,4,1,2,4,7,8,9,10,11,,,,,97,1,1,2,0,3,BORDJ BOU ARRERIDJ,2,560413321,1,1,3
22,13,7,16,2,6,13,31,13,51,20,230785,12,1,1,,,,94,2,3,1,1,0,1,1,0,0,3,26,2,1,8,2,2,4,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,10,U,7,13,0,0,1,0,0,8,0,0,4,5,5,5,4,97,4,2,97,3,3,2,0,,,,0,1,0,10,7,2,0,3,0,1,3,4,,,,6,,,,,,0,,,0,,,,0,,,0,,,0,,4,0,,0,,0,1,0,0,0,3,0,0,1,2,3,0,7,1,3000,U,U,4,U,1500,U,U,1,34,3,3,2,3,1,2,3,4,6,8,9,12,,,,,97,1,1,3,0,3,ANNABA,2,658574713,1,1,3
23,13,7,16,2,6,13,51,14,21,30,230785,12,1,1,,,,94,2,5,0,0,0,0,0,0,1,2,36,2,1,5,1,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,6,U,8,23,0,0,2,0,0,8,0,0,4,4,97,5,4,4,97,2,2,97,97,2,0,,,,0,1,0,8,4,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1500,U,U,4,U,U,U,U,1,34,3,4,2,4,95,,,,,,,,,,,,97,2,1,1,0,5,ANNABA,2,774681993,1,1,3
24,13,7,16,2,6,14,21,14,42,21,230785,12,1,1,,,,94,2,5,1,1,1,1,0,1,0,5,36,2,1,18,1,1,16,1,1,11,1,2,7,1,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,7,U,8,1,0,0,1,0,0,8,0,0,4,4,2,3,4,4,4,2,1,3,3,2,0,,,,0,3,97,10,7,2,0,3,0,1,1,3,,,,6,,,,,,0,,,0,,,,0,,,0,,,0,,3,0,,0,,0,1,0,0,0,3,0,0,1,2,1,0,7,5,500,U,U,4,U,0,U,U,1,43,4,3,2,3,95,,,,,,,,,,,,97,1,1,2,0,5,ANNABA,2,541685833,1,1,3
25,13,7,16,2,6,17,20,17,45,25,230785,12,1,1,,,,94,2,3,1,1,0,1,1,0,0,5,49,1,1,43,2,1,16,1,1,12,2,2,5,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,6,U,5,12,0,0,1,0,0,8,0,0,4,4,4,4,3,3,4,2,2,3,3,2,0,,,,0,1,0,8,6,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,4,800,U,U,4,U,U,U,U,2,21,2,5,7,3,95,,,,,,,,,,,,97,1,1,3,0,5,ANNABA,2,699170191,1,1,3
26,13,7,16,2,6,17,46,18,22,36,191039,25,2,1,,,,94,2,3,0,0,0,0,1,0,0,1,27,1,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,8,U,4,14,0,0,1,0,0,8,0,0,4,4,4,4,97,97,4,97,2,3,3,2,0,,,,0,1,0,7,5,2,0,1,1,1,1,4,,,,2,,,,,,0,,,4,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,12,8,500,U,U,4,U,U,U,U,2,23,2,5,7,4,1,2,3,4,7,8,9,10,12,,,,2,1,1,3,0,3,EL ACHIR,2,699265472,1,1,3
27,13,7,16,2,6,18,22,18,46,24,191039,25,2,1,,,,94,2,1,0,1,1,1,0,0,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,10,U,6,7,0,0,1,0,0,6,0,0,5,5,5,5,5,97,97,3,97,97,97,1,1,,,,0,1,0,4,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,20,8,5000,U,U,4,U,U,U,U,2,37,4,4,8,4,1,2,3,4,5,8,9,10,11,12,,,2,1,4,1,0,3,EL ACHIR,2,777765652,1,1,3
28,13,7,16,2,6,20,55,21,13,18,160767,1,1,1,2,,,94,2,2,1,0,1,0,0,0,0,4,55,1,1,52,2,1,25,2,1,19,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,7,97,0,0,1,0,0,8,0,0,4,4,4,4,5,5,5,3,3,3,97,2,0,,,,0,1,0,7,7,2,0,1,1,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,14,8,1000,U,U,3,U,U,U,U,2,52,5,4,4,4,1,2,3,4,7,8,9,,,,,,97,97,1,2,0,4,Hydra,1,555195002,1,2,3
29,13,7,16,2,6,21,13,21,28,15,160767,1,1,1,2,,,94,2,2,1,0,1,1,0,0,0,3,42,2,1,19,1,1,17,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,8,2,0,0,1,0,0,8,0,0,4,4,4,5,4,5,3,3,2,3,97,1,1,,,,0,1,0,7,6,2,0,1,1,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2800,U,U,4,U,U,U,U,2,42,4,5,9,4,1,2,3,4,7,8,,,,,,,97,1,3,2,0,4,Hydra,1,554961142,1,2,3
30,13,7,16,2,6,21,28,21,36,8,160767,1,1,1,2,,,94,2,2,1,0,1,0,0,0,0,3,53,1,1,50,2,1,25,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,6,3,0,0,1,0,0,8,0,0,4,4,4,4,4,5,4,3,3,3,2,1,2,,,,0,1,0,6,3,1,3,1,1,1,1,2,4,,,2,4,,,,,0,,,2,4,,,0,,,2,4,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,1,1,2,17,8,2500,U,U,4,U,U,U,U,2,25,3,5,2,4,1,2,3,4,5,7,8,9,10,12,,,7,1,4,2,0,3,Hydra,1,550631041,1,2,3
31,13,7,16,2,6,21,54,22,6,12,101385,6,1,1,,,,94,2,1,0,1,1,1,1,0,0,2,56,1,1,55,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,7,U,4,4,0,0,1,0,0,8,0,0,4,4,4,4,4,4,4,2,2,2,97,1,3,,,,0,3,97,8,5,2,0,1,1,1,1,1,4,,,2,,,,,,0,,,1,4,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,1,1,1,11,6,800,U,U,2,U,U,U,U,2,19,1,5,7,3,1,2,3,4,6,7,8,9,10,12,,,4,1,3,1,0,3,BOUIRA,1,791172792,1,2,3
32,13,7,16,2,6,22,6,22,12,6,101385,6,1,1,2,3,,94,2,2,1,0,1,0,1,0,0,4,63,1,1,59,2,1,29,1,1,24,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,5,U,8,19,0,0,2,0,0,97,0,0,3,3,3,3,3,3,3,3,2,3,97,1,3,,,,0,3,3,6,5,2,0,1,1,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,13,5,1000,U,U,3,U,U,U,U,2,35,4,5,2,3,1,2,3,4,5,6,7,8,12,,,,4,2,3,2,0,3,BOUIRA,1,559769567,1,1,3
