Serial,NETWORK,Q1,Q2_ETUDESMKT,Q3,Q4_AGETRANCHE,Q5_USERPRIN,Q6,Q6_NBRSIMDJEZZY,Q6_NBRSIMOOREDOO,Q6_NBRSIMMOBILIS,Q7_PRINSIM,Q8_OFFRESIM,Q10_NPS,Q11_PROMOT,Q11_DETRACT&NEUTRAL,Q12_TESTDATA,Q12_TESTCALLCENTER,Q12_TESTSHOP,Q12_TESTRECLAM,Q12_TESTSITEWEB,Q13_SATGLOBAL,Q13_SATCOUV,Q13_SATCOUVDATA,Q13_SATPRIX&PROMO,Q13_SATPOSTPAID,Q13_SATPREPAID,Q13_SATCALLCENTER,Q13_SATSHOP,Q13_SATSITEWEB,Q13_SATRECLAM,Q13_SATPROD&SERV,Q13_SATPUB,Q14_SATCOUVALG,Q14_SATCOUVCITY,Q14_SATCOUVINDOOR,Q14_SATCOUV1STCALL,Q14_SATCOUVSONINT,Q14_SATCOUVSONNETALG,Q14_SATCOUVSONNETINTER,Q14_SATCOUVROUTE,Q15_SATCOUVDATAALG,Q15_SATCOUVDATAINDOOR,Q15_SATCOUVDATASPEEDALG,Q15_SATCOUVDATASPEEDINDOOR,Q15_SATCOUVDATACONINST,Q15_SATCOUVDATACONCONT,Q16_SATPRIX&PROMOCOMPFACILE,Q16_SATPRIX&PROMOPRONNET,Q16_SATPRIX&PROMOPROFFNET,Q16_SATPRIX&PROMOPRINTER,Q16_SATPRIX&PROMOPRROAMING,Q16_SATPRIX&PROMOPRSMS,Q16_SATPRIX&PROMOPRDATA,Q16_SATPRIX&PROMOPRPROMO,Q16_SATPRIX&PROMOAVANTPROM,Q16_SATPRIX&PROMOFREQPROMO,Q16_SATPRIX&PROMOSIMPLPROMO,Q17_SATPOSTPAIDRECEPTNOTE,Q17_SATPOSTPAIDBILLFACILE,Q17_SATPOSTPAIDBILLFORMAT,Q17_SATPOSTPAIDBILLDETAIL,Q17_SATPOSTPAIDBILLPRECISION,Q17_SATPOSTPAIDBILLMODES,Q18_SATBILLRECHARGEDISPO,Q18_SATBILLRECHARGEMULTIPLE,Q18_SATBILLPROCESSFACILE,Q18_SATBILLSOLDEPRECISION,Q19_SATCALLCENTERMENUVOCAL,Q19_SATCALLCENTERTEMPSATT,Q19_SATCALLCENTERTEMPSATTCALL,Q19_SATCALLCENTERQUALITESON,Q19_SATCALLCENTERAGAMABILITE,Q19_SATCALLCENTERAGCOMPR,Q19_SATCALLCENTERAGCONAISSPROD,Q19_SATCALLCENTERAGRESOLCAP,Q19_SATCALLCENTERPRCALL,Q20_SATSHOPPROXIMITE,Q20_SATSHOPHEURESOUV,Q20_SATSHOPDESIGN,Q20_SATSHOPDISPOPRODBROCH,Q20_SATSHOPTEMPSATTENTE,Q20_SATSHOPAGAPPARENCE,Q20_SATSHOPAGAMABILITE,Q20_SATSHOPAGCOMPREHENSION,Q20_SATSHOPAGRESOLUTION,Q20_SATSHOPAGRESOLUTIONTIME,Q21_SATSITEWEBACTUALISE,Q21_SATSITEWEBAPPARENCE,Q21_SATSITEWEBSURF,Q21_SATSITEWEBINFOUTILE,Q21_SATSITEWEBINFODETAILLE,Q22_SATRECLAMMODES,Q22_SATRECLAMSPEED,Q22_SATRECLAMRESOLUEXACT,Q22_SATRECLAMPROCESSFACILITE,Q23_SATPROD&SERVGAMMETARIF,Q23_SATPROD&SERVGAMMESERV,Q23_SATPROD&SERVMIGRATION,Q23_SATPROD&SERVVARIETEDISPOTE,Q23_SATPROD&SERVROAMING,Q24_SATPUBINFORMATIVE,Q24_SATPUBCAPTIVANTE,Q24_SATPUBCOMPREHENSION,Q24_SATPUBCONCERNE,Q24_SATPUBCREDIBLE,Q24_SATPUBFREQUENCE,Q24_SATPUBSPONSORING,Q9_ARPU,Q25_SEXE,Q26_JOBACTUEL,Q27_NIVETUDES,Q28_WILAYA,Q29_COMMUNE,Q29_1,Q30_WILAYAAPPEL
540278677,1,8,2,1,6,1,2 3,U,2,1,2,4,8,0,997,2,1,2,2,2,5,5,0,3,0,5,5,0,0,0,6,5,5,5,5,5,5,5,4,5,0,0,0,0,0,0,4,3,4,6,6,6,6,6,6,6,6,0,0,0,0,0,0,5,5,5,5,4,4,4,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,5,5,5,4,5,4,5,1000,1,4,3,10,227,1,0
540320526,1,8,2,1,3,1,2,U,1,U,2,26,5,0,2,1,2,1,1,2,4,4,4,4,4,0,0,5,0,4,4,5,4,4,5,4,5,4,6,4,4,5,4,4,4,4,4,4,5,6,6,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,1500,1,1,4,43,1333,1,0
540349318,1,8,2,1 2 4,8,1,2 3,U,1,1,3,17,5,0,1,2,2,2,2,2,5,5,0,5,0,5,0,0,0,0,5,5,5,5,5,5,5,5,6,5,0,0,0,0,0,0,5,5,5,6,6,5,5,6,5,5,5,0,0,0,0,0,0,5,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,5,5,5,5,5,5,5,200,1,5,5,42,959,1,0
540393132,1,8,2,1,6,1,2,U,1,U,2,39,10,5,0,2,2,2,2,2,5,5,0,5,0,5,0,0,0,0,5,5,5,5,5,5,5,5,6,5,0,0,0,0,0,0,5,5,4,6,6,6,6,6,6,6,6,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,5,6,6,6,6,6,6,6,6,1500,1,4,3,42,975,1,0
540469064,1,8,2,1 2 4,3,1,2 3,U,1,1,3,13,8,0,1 2 5,1,2,1,2,1,5,5,5,5,0,5,0,5,5,0,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,5,5,5,5,6,5,5,5,5,5,5,5,100,2,6,5,25,747,1,0
540476975,1,8,2,1 2 3 4,3,1,1 2,1,1,U,1,30,7,0,70,2,2,1,2,2,4,1,0,1,5,0,0,4,0,0,5,5,5,1,3,3,3,3,3,1,0,0,0,0,0,0,2,5,1,2,6,5,5,3,3,3,3,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,2,5,5,3,3,3,4,0,0,0,0,0,0,0,0,0,4,4,5,5,6,5,5,5,5,3,3,5,1200,1,6,5,15,379,1,0
540480852,1,8,2,1 2,5,1,1 2,1,1,U,1,11,10,5,0,1,2,2,2,2,4,4,3,1,0,5,0,0,0,0,3,5,3,5,5,5,3,5,6,5,3,3,3,3,5,3,1,3,3,6,6,5,1,1,5,5,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,3,1,3,4,5,5,4,1000,1,1,3,9,283,1,0
540493748,1,1,2,1 2 3 4,3,1,2 3,U,1,1,3,13,10,5 6,0,1,1,2,1,2,4,5,4,4,0,4,3,0,0,4,3,1,3,4,4,4,4,4,6,3,3,3,4,3,5,4,5,4,4,6,6,6,4,4,4,3,5,0,0,0,0,0,0,4,5,5,5,5,2,4,5,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,3,3,1,4,6,6,1,1,5,5,3,1,3,500,2,6,5,19,604,1,0
540495947,1,8,2,1,5,1,2,U,1,U,2,2,10,6,0,2,2,2,2,2,4,4,0,4,0,4,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,4,4,4,4,6,4,4,4,4,4,4,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,4,4,4,4,4,4,4,55555,2,7,3,48,1408,1,0
540516398,1,8,2,1 2,4,1,2,U,2,U,2,2,7,0,3,2,2,1,1,2,3,3,0,3,0,4,0,4,0,5,4,4,3,5,5,5,5,5,3,3,0,0,0,0,0,0,2,5,3,3,2,2,4,3,2,4,3,0,0,0,0,0,0,3,3,5,5,0,0,0,0,0,0,0,0,0,5,4,5,5,4,5,5,5,5,4,0,0,0,0,0,5,4,4,5,4,4,3,4,5,4,3,4,3,4,3,4,3000,1,4,4,31,871,1,0
540548580,1,8,2,1,7,1,1 2,1,1,U,2,39,8,0,997,2,2,1,2,2,5,5,0,4,0,4,0,5,0,0,5,5,5,5,5,5,5,5,6,5,0,0,0,0,0,0,5,5,5,4,6,5,5,5,4,6,4,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,6,5,5,5,5,5,5,5,2500,1,1,4,20,1113,1,0
540549636,1,8,2,1,8,1,2,U,1,U,2,3,5,0,1,2,2,2,2,2,5,3,0,4,0,5,0,0,0,0,5,6,5,4,5,5,5,5,6,5,0,0,0,0,0,0,5,5,5,6,6,6,6,6,2,3,3,0,0,0,0,0,0,5,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,6,6,6,6,6,6,6,6,5,55555,1,4,3,17,555,1,0
540585057,1,8,2,1,4,1,2 3,U,1,1,2,39,10,4 6,0,1,1,1,1,1,5,5,4,5,0,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,4,4,4,4,4,5,5,5,6,6,5,5,5,5,5,5,0,0,0,0,0,0,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,4,5,6,4,6,5,5,5,5,5,5,5,2000,1,2,4,16,537,1,0
540593538,1,8,2,1 2,4,1,2,U,2,U,2,39,10,997,0,1,2,2,2,1,5,5,4,3,0,5,0,0,5,0,4,4,4,5,5,5,5,5,3,4,4,4,4,5,4,4,3,5,2,3,4,4,3,4,3,5,5,0,0,0,0,0,0,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,4,0,0,0,0,4,4,3,3,6,4,5,5,4,5,3,5,2750,1,4,4,31,876,1,0
540601248,1,8,2,1 2 4 5,8,1,2,U,1,U,2,39,6,0,5 18 33,2,2,2,2,2,4,5,0,1,0,5,0,0,0,0,6,1,5,5,4,5,5,5,6,5,0,0,0,0,0,0,2,2,2,6,6,6,3,6,6,3,2,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,5,5,4,5,4,5,1,1000,1,5,4,3,36,1,0
540619836,1,8,2,1 2 4,6,1,1 2,1,1,U,2,1,8,0,5 22,2,2,2,2,2,4,4,0,2,0,5,0,0,0,0,4,3,4,4,4,5,5,4,3,4,0,0,0,0,0,0,4,2,1,2,4,4,4,2,3,4,4,0,0,0,0,0,0,5,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,1000,2,7,5,25,745,1,0
540658849,1,8,2,1,7,1,1 2,1,1,U,2,39,10,1 7,0,2,1,2,2,2,5,5,0,5,0,1,5,0,0,0,5,1,5,1,5,5,5,1,6,6,0,0,0,0,0,0,5,1,1,6,6,6,6,5,5,5,5,0,0,0,0,0,0,5,1,1,5,5,1,5,5,5,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,5,6,5,5,5,5,5,5,5,1000,2,7,1,13,364,1,0
540661761,1,8,2,1 2,4,1,2,U,2,U,2,2,0,0,997,2,2,2,2,2,3,3,0,3,0,5,0,0,0,0,3,5,4,5,6,5,5,5,5,5,0,0,0,0,0,0,5,1,1,1,6,1,1,1,2,5,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,2,6,3,2,5,3,5,5,5,55555,2,1,5,35,914,1,0
540733739,1,8,2,1,6,1,2,U,2,U,2,2,10,2 7,0,1,2,2,2,2,4,2,3,4,0,4,0,0,0,0,4,3,4,4,3,4,4,4,4,3,3,4,3,3,4,3,3,3,3,3,6,4,3,3,4,3,4,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,4,3,4,3,3,3,4,400,2,7,2,35,928,2,31
540741192,1,8,2,1,4,1,2,U,1,U,2,39,7,0,3,1,2,2,2,2,4,5,4,4,0,5,0,0,0,0,5,5,5,5,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4,3,6,5,4,4,4,5,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,5,6,3,4,5,5,5,4,4,55555,1,2,3,15,387,1,0
540756226,1,8,2,1,6,1,2,U,1,U,2,39,7,0,1,2,2,2,2,2,4,3,0,4,0,5,0,0,0,0,3,5,4,2,3,2,2,5,6,2,0,0,0,0,0,0,2,5,4,6,6,1,6,3,5,5,4,0,0,0,0,0,0,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,6,5,3,5,5,3,3,4,6000,2,7,2,35,903,1,0
540773304,1,8,2,1 2,8,1,1 2,1,1,U,2,39,7,0,2,1,2,2,2,1,5,4,4,3,0,5,0,0,5,0,5,4,5,3,5,4,6,5,6,5,5,1,2,2,2,2,4,4,4,6,6,6,2,5,3,4,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,4,0,0,0,0,3,5,5,3,6,5,3,5,4,2,3,5,2000,1,2,1,34,1468,2,20
540776090,1,8,2,1 2,6,1,2,U,1,U,2,4,10,1 7,0,2,2,1,2,2,5,5,0,5,0,5,0,5,0,0,5,3,4,4,5,5,5,5,6,5,0,0,0,0,0,0,5,5,3,6,6,5,5,5,5,5,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,4,5,5,6,4,5,5,5,5,3,0,0,0,0,0,0,0,0,0,4,5,5,4,6,5,5,5,5,5,5,5,2000,2,7,3,22,713,1,0
540776494,1,8,2,3,4,1,2,U,1,U,2,2,7,0,1,1,2,2,2,1,3,1,5,2,0,4,0,0,5,0,2,5,1,1,5,2,2,5,6,2,5,5,5,4,4,4,4,5,4,6,6,6,2,4,3,4,4,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,4,0,0,0,0,2,4,4,5,6,5,5,5,5,4,4,5,3000,1,4,5,6,121,1,0
540798911,1,8,2,1 2,7,1,2,U,1,U,2,39,3,0,1 2 3,2,2,2,2,2,3,2,0,1,0,4,0,0,0,0,6,5,2,2,2,3,2,3,6,1,0,0,0,0,0,0,5,3,1,6,6,2,6,2,2,4,5,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,6,4,5,5,3,1,4,5,2000,2,2,5,16,503,1,0
540801041,1,8,2,1,6,1,2,U,2,U,2,3,10,2 5,0,1,1,2,2,2,4,4,3,2,0,5,5,0,0,0,3,3,5,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,2,3,3,4,4,3,3,3,3,0,0,0,0,0,0,3,3,4,2,3,4,3,5,4,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,4,4,5,5,4,3,3,4,4000,1,4,4,9,290,1,0
540843661,1,8,2,1 2,7,1,1 2,1,1,U,1,39,5,0,1 2,1,2,1,2,2,3,4,4,1,0,2,0,4,0,0,3,2,2,4,4,5,5,5,4,5,3,3,4,5,5,4,3,4,3,4,4,3,3,4,6,6,6,0,0,0,0,0,0,3,3,4,3,0,0,0,0,0,0,0,0,0,4,4,3,6,3,5,4,4,4,3,0,0,0,0,0,0,0,0,0,6,6,3,4,6,4,4,4,4,1,2,4,55555,1,5,3,16,510,1,0
540875839,1,8,2,1 2,6,1,1 2,1,1,U,2,39,10,5,0,1,1,1,2,2,5,4,4,5,0,5,4,3,0,0,5,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,4,5,6,4,5,5,4,4,5,0,0,0,0,0,0,5,5,5,5,5,5,5,4,5,5,4,4,5,4,4,5,5,5,5,5,5,4,4,0,0,0,0,0,0,0,0,0,5,4,5,1,6,4,4,5,4,4,4,4,4000,1,1,3,46,1357,1,0
540898086,1,8,2,1 2 4,3,1,1 2,1,1,U,2,39,7,0,996,2,2,2,2,2,3,4,0,3,0,4,0,0,0,0,4,5,3,3,4,5,4,4,4,4,0,0,0,0,0,0,3,3,3,3,3,4,4,4,3,3,3,0,0,0,0,0,0,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,3,3,4,300,2,6,5,16,524,1,0
540949465,1,8,2,1,7,1,1 2,1,1,U,1,40,10,6,0,2,2,2,2,2,5,4,0,4,3,0,0,0,0,0,4,4,3,2,3,4,3,2,2,3,0,0,0,0,0,0,5,5,4,2,2,4,3,4,5,2,5,1,4,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,6,2,3,4,2,2,3,4,300,1,1,4,31,871,1,0
540961483,1,8,2,1 2,7,1,1 2,1,1,U,2,4,6,0,18,1,2,1,2,2,3,3,4,4,0,5,0,5,0,0,5,5,4,3,3,5,4,4,4,5,4,4,5,4,4,4,4,4,4,4,6,4,4,4,4,4,5,0,0,0,0,0,0,5,4,5,4,0,0,0,0,0,0,0,0,0,4,4,4,5,5,5,4,4,4,4,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,4,2000,1,5,4,16,528,1,0
540968730,1,8,2,1,3,1,1 2,1,1,U,1,29,7,0,996,1,1,2,1,2,4,5,3,2,1,0,4,0,0,1,4,3,5,1,5,2,5,2,3,4,3,5,5,5,3,5,5,5,3,2,1,4,2,5,4,5,2,5,5,3,2,4,5,0,0,0,0,3,2,4,3,2,5,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,5,2,3,4,5,2,3,1,4,3,2,4,4,2000,1,2,2,31,873,1,0
